Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD2201,Jaipur,Rajasthan Technical University,2nd,Data Science,LinkedIn
LD2202,Chennai,Vellore Institute of Technology (VIT),3rd,Environmental Science,LinkedIn
LD2203,Chennai,Madras Christian College,2nd,Artificial Intelligence,College Collaboration
LD2204,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Data Science,LinkedIn
LD2205,Delhi,Delhi Technological University (DTU),1st,Artificial Intelligence,LinkedIn
LD2206,Kolkata,Jadavpur University,4th,Artificial Intelligence,LinkedIn
LD2207,Chennai,Madras Christian College,2nd,Cybersecurity,LinkedIn
LD2208,Mumbai,Tata Institute of Social Sciences (TISS),1st,Electric Vehicles,College Collaboration
LD2209,Bengaluru,PES University,4th,Robotics,LinkedIn
LD2210,Mumbai,St. Xavier's College,3rd,Data Science,College Collaboration
LD2211,Hyderabad,Indian School of Business (ISB),4th,Data Science,LinkedIn
LD2212,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Artificial Intelligence,Google Form
LD2213,Delhi,Guru Gobind Singh Indraprastha University,3rd,Data Science,LinkedIn
LD2214,Pune,University of Pune (Savitribai Phule Pune University),3rd,Artificial Intelligence,LinkedIn
LD2215,Ahmedabad,Nirma University,2nd,Environmental Science,College Collaboration
LD2216,Hyderabad,University of Hyderabad,4th,Data Science,LinkedIn
LD2217,Pune,MIT World Peace University,3rd,Data Science,LinkedIn
LD2218,Ahmedabad,Gujarat University,2nd,Data Science,Google Form
LD2219,Hyderabad,Indian School of Business (ISB),4th,Artificial Intelligence,Whatsapp
LD2220,Kolkata,Jadavpur University,3rd,Artificial Intelligence,Google Form
LD2221,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,Google Form
LD2222,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Artificial Intelligence,LinkedIn
LD2223,Kolkata,Indian Statistical Institute,4th,Artificial Intelligence,Google Form
LD2224,Delhi,Jawaharlal Nehru University (JNU),2nd,Business Administration,LinkedIn
LD2225,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Cybersecurity,College Collaboration
LD2226,Ahmedabad,Nirma University,4th,Business Administration,LinkedIn
LD2227,Chennai,Indian Institute of Technology Madras (IIT-M),4th,Electric Vehicles,Google Form
LD2228,Ahmedabad,Nirma University,1st,Environmental Science,Instagram
LD2229,Ahmedabad,Nirma University,2nd,Environmental Science,LinkedIn
LD2230,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Cybersecurity,LinkedIn
LD2231,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Biotechnology,Whatsapp
LD2232,Ahmedabad,Nirma University,1st,Data Science,Instagram
LD2233,Mumbai,Sardar Patel Institute of Technology,2nd,Cybersecurity,Google Form
LD2234,Delhi,University of Delhi,2nd,Artificial Intelligence,College Collaboration
LD2235,Mumbai,K. J. Somaiya College of Engineering,4th,Electric Vehicles,College Collaboration
LD2236,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Environmental Science,College Collaboration
LD2237,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Data Science,LinkedIn
LD2238,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Data Science,LinkedIn
LD2239,Mumbai,University of Mumbai,4th,Business Administration,College Collaboration
LD2240,Mumbai,Tata Institute of Social Sciences (TISS),4th,Business Administration,College Collaboration
LD2241,Chennai,Madras Christian College,2nd,Cybersecurity,College Collaboration
LD2242,Ahmedabad,Gujarat University,4th,Artificial Intelligence,LinkedIn
LD2243,Ahmedabad,Gujarat University,3rd,Artificial Intelligence,LinkedIn
LD2244,Bengaluru,PES University,3rd,Biotechnology,College Collaboration
LD2245,Ahmedabad,Nirma University,4th,Data Science,LinkedIn
LD2246,Ahmedabad,Nirma University,2nd,Environmental Science,Instagram
LD2247,Delhi,Guru Gobind Singh Indraprastha University,2nd,Cybersecurity,Google Form
LD2248,Pune,Symbiosis International University,3rd,Cybersecurity,LinkedIn
LD2249,Kolkata,Indian Statistical Institute,2nd,Business Administration,LinkedIn
LD2250,Chennai,Vellore Institute of Technology (VIT),1st,Cybersecurity,LinkedIn
LD2251,Delhi,Guru Gobind Singh Indraprastha University,2nd,Data Science,LinkedIn
LD2252,Mumbai,K. J. Somaiya College of Engineering,1st,Environmental Science,Mass-Mailing
LD2253,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Electric Vehicles,Instagram
LD2254,Kolkata,Presidency University,4th,Cybersecurity,College Collaboration
LD2255,Jaipur,Rajasthan Technical University,4th,Data Science,College Collaboration
LD2256,Bengaluru,PES University,3rd,Environmental Science,LinkedIn
LD2257,Mumbai,Mithibai College,2nd,Robotics,LinkedIn
LD2258,Indore,Devi Ahilya Vishwavidyalaya,3rd,Cybersecurity,Google Form
LD2259,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Cybersecurity,LinkedIn
LD2260,Bengaluru,Indian Institute of Science (IISc),3rd,Business Administration,College Collaboration
LD2261,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Data Science,Google Form
LD2262,Chennai,SRM Institute of Science and Technology,3rd,Biotechnology,College Collaboration
LD2263,Kolkata,Presidency University,2nd,Artificial Intelligence,College Collaboration
LD2264,Bengaluru,RV College of Engineering,3rd,Cybersecurity,LinkedIn
LD2265,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Data Science,College Collaboration
LD2266,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Artificial Intelligence,College Collaboration
LD2267,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Cybersecurity,College Collaboration
LD2268,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Cybersecurity,Mass-Mailing
LD2269,Mumbai,Sardar Patel Institute of Technology,2nd,Data Science,College Collaboration
LD2270,Delhi,Guru Gobind Singh Indraprastha University,2nd,Business Administration,Google Form
LD2271,Chennai,Loyola College,2nd,Cybersecurity,Whatsapp
LD2272,Pune,Symbiosis International University,2nd,Cybersecurity,College Collaboration
LD2273,Ahmedabad,Gujarat University,4th,Environmental Science,Mass-Mailing
LD2274,Pune,University of Pune (Savitribai Phule Pune University),2nd,Cybersecurity,Google Form
LD2275,Hyderabad,Indian School of Business (ISB),2nd,Environmental Science,Instagram
LD2276,Chennai,Madras Christian College,2nd,Environmental Science,LinkedIn
LD2277,Ahmedabad,Nirma University,3rd,Environmental Science,LinkedIn
LD2278,Hyderabad,Indian School of Business (ISB),4th,Data Science,College Collaboration
LD2279,Ahmedabad,Nirma University,2nd,Data Science,Whatsapp
LD2280,Kolkata,University of Calcutta,2nd,Electric Vehicles,Whatsapp
LD2281,Mumbai,Mithibai College,4th,Business Administration,College Collaboration
LD2282,Bengaluru,RV College of Engineering,4th,Artificial Intelligence,Google Form
LD2283,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,Google Form
LD2284,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Artificial Intelligence,LinkedIn
LD2285,Bengaluru,PES University,2nd,Business Administration,College Collaboration
LD2286,Pune,University of Pune (Savitribai Phule Pune University),2nd,Data Science,Instagram
LD2287,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Environmental Science,LinkedIn
LD2288,Hyderabad,University of Hyderabad,4th,Business Administration,Google Form
LD2289,Ahmedabad,Gujarat University,2nd,Environmental Science,LinkedIn
LD2290,Pune,University of Pune (Savitribai Phule Pune University),3rd,Robotics,LinkedIn
LD2291,Mumbai,Sardar Patel Institute of Technology,4th,Business Administration,LinkedIn
LD2292,Delhi,Jawaharlal Nehru University (JNU),3rd,Business Administration,College Collaboration
LD2293,Hyderabad,University of Hyderabad,2nd,Environmental Science,LinkedIn
LD2294,Chennai,Indian Institute of Technology Madras (IIT-M),3rd,Business Administration,College Collaboration
LD2295,Delhi,Lady Shri Ram College for Women,2nd,Artificial Intelligence,LinkedIn
LD2296,Delhi,Lady Shri Ram College for Women,4th,Environmental Science,Google Form
LD2297,Mumbai,K. J. Somaiya College of Engineering,2nd,Data Science,College Collaboration
LD2298,Kolkata,Presidency University,3rd,Artificial Intelligence,Google Form
LD2299,Indore,Devi Ahilya Vishwavidyalaya,4th,Robotics,Google Form
LD2300,Delhi,Lady Shri Ram College for Women,4th,Electric Vehicles,College Collaboration
LD2301,Ahmedabad,Gujarat University,4th,Artificial Intelligence,Whatsapp
LD2302,Chennai,Loyola College,3rd,Business Administration,LinkedIn
LD2303,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Artificial Intelligence,College Collaboration
LD2304,Kolkata,Jadavpur University,2nd,Robotics,LinkedIn
LD2305,Pune,Bharati Vidyapeeth Deemed University,3rd,Business Administration,Google Form
LD2306,Hyderabad,University of Hyderabad,4th,Electric Vehicles,Mass-Mailing
LD2307,Pune,University of Pune (Savitribai Phule Pune University),4th,Data Science,Instagram
LD2308,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Data Science,Google Form
LD2309,Bengaluru,Christ University,2nd,Environmental Science,Whatsapp
LD2310,Ahmedabad,Nirma University,4th,Environmental Science,College Collaboration
LD2311,Kolkata,University of Calcutta,4th,Cybersecurity,Mass-Mailing
LD2312,Ahmedabad,Nirma University,1st,Environmental Science,Whatsapp
LD2313,Mumbai,K. J. Somaiya College of Engineering,4th,Cybersecurity,Whatsapp
LD2314,Ahmedabad,Gujarat University,1st,Business Administration,LinkedIn
LD2315,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Cybersecurity,College Collaboration
LD2316,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Artificial Intelligence,College Collaboration
LD2317,Ahmedabad,Nirma University,2nd,Biotechnology,Instagram
LD2318,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Environmental Science,Instagram
LD2319,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,College Collaboration
LD2320,Delhi,Lady Shri Ram College for Women,4th,Environmental Science,Google Form
LD2321,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Robotics,Mass-Mailing
LD2322,Ahmedabad,Nirma University,3rd,Business Administration,College Collaboration
LD2323,Delhi,Lady Shri Ram College for Women,4th,Business Administration,LinkedIn
LD2324,Kolkata,Presidency University,3rd,Biotechnology,Google Form
LD2325,Delhi,Lady Shri Ram College for Women,1st,Electric Vehicles,Mass-Mailing
LD2326,Indore,Devi Ahilya Vishwavidyalaya,3rd,Electric Vehicles,LinkedIn
LD2327,Pune,Symbiosis International University,1st,Cybersecurity,Google Form
LD2328,Ahmedabad,Gujarat University,4th,Artificial Intelligence,College Collaboration
LD2329,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Business Administration,Google Form
LD2330,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Environmental Science,College Collaboration
LD2331,Chennai,Vellore Institute of Technology (VIT),3rd,Environmental Science,LinkedIn
LD2332,Ahmedabad,Nirma University,2nd,Data Science,College Collaboration
LD2333,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Cybersecurity,College Collaboration
LD2334,Delhi,Jamia Millia Islamia,4th,Electric Vehicles,Mass-Mailing
LD2335,Mumbai,Tata Institute of Social Sciences (TISS),4th,Artificial Intelligence,Mass-Mailing
LD2336,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Business Administration,LinkedIn
LD2337,Mumbai,Mithibai College,2nd,Artificial Intelligence,Google Form
LD2338,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,LinkedIn
LD2339,Mumbai,St. Xavier's College,2nd,Electric Vehicles,College Collaboration
LD2340,Indore,Devi Ahilya Vishwavidyalaya,4th,Cybersecurity,Mass-Mailing
LD2341,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Environmental Science,LinkedIn
LD2342,Ahmedabad,Nirma University,1st,Environmental Science,Mass-Mailing
LD2343,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Environmental Science,LinkedIn
LD2344,Ahmedabad,Gujarat University,2nd,Data Science,College Collaboration
LD2345,Delhi,Jawaharlal Nehru University (JNU),3rd,Artificial Intelligence,Google Form
LD2346,Chennai,Anna University,2nd,Business Administration,College Collaboration
LD2347,Kolkata,Jadavpur University,2nd,Data Science,College Collaboration
LD2348,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Data Science,Whatsapp
LD2349,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Electric Vehicles,College Collaboration
LD2350,Ahmedabad,Gujarat University,2nd,Environmental Science,College Collaboration
LD2351,Hyderabad,Osmania University,4th,Environmental Science,College Collaboration
LD2352,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Environmental Science,LinkedIn
LD2353,Ahmedabad,Gujarat University,4th,Environmental Science,College Collaboration
LD2354,Bengaluru,Bangalore Institute of Technology,2nd,Artificial Intelligence,Google Form
LD2355,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Artificial Intelligence,Whatsapp
LD2356,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Biotechnology,Mass-Mailing
LD2357,Delhi,Jawaharlal Nehru University (JNU),3rd,Biotechnology,College Collaboration
LD2358,Mumbai,St. Xavier's College,3rd,Artificial Intelligence,LinkedIn
LD2359,Mumbai,Indian Institute of Technology Bombay (IIT-B),1st,Robotics,LinkedIn
LD2360,Chennai,Vellore Institute of Technology (VIT),3rd,Environmental Science,LinkedIn
LD2361,Kolkata,Jadavpur University,3rd,Electric Vehicles,Google Form
LD2362,Mumbai,Mithibai College,2nd,Robotics,Google Form
LD2363,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Artificial Intelligence,College Collaboration
LD2364,Indore,Indian Institute of Management Indore (IIM-I),4th,Environmental Science,LinkedIn
LD2365,Chennai,Loyola College,2nd,Business Administration,Google Form
LD2366,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),1st,Robotics,College Collaboration
LD2367,Pune,MIT World Peace University,2nd,Electric Vehicles,Instagram
LD2368,Chennai,Loyola College,4th,Data Science,College Collaboration
LD2369,Kolkata,Indian Statistical Institute,4th,Robotics,Whatsapp
LD2370,Delhi,Jawaharlal Nehru University (JNU),1st,Artificial Intelligence,Google Form
LD2371,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Biotechnology,College Collaboration
LD2372,Chennai,Anna University,1st,Artificial Intelligence,LinkedIn
LD2373,Delhi,Jamia Millia Islamia,1st,Environmental Science,Google Form
LD2374,Bengaluru,Bangalore Institute of Technology,3rd,Environmental Science,College Collaboration
LD2375,Ahmedabad,Nirma University,4th,Artificial Intelligence,Mass-Mailing
LD2376,Mumbai,Indian Institute of Technology Bombay (IIT-B),3rd,Electric Vehicles,College Collaboration
LD2377,Jaipur,Rajasthan Technical University,2nd,Business Administration,Instagram
LD2378,Hyderabad,International Institute of Information Technology (IIIT-H),4th,Environmental Science,College Collaboration
LD2379,Ahmedabad,Nirma University,2nd,Environmental Science,College Collaboration
LD2380,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Electric Vehicles,Google Form
LD2381,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Biotechnology,Mass-Mailing
LD2382,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Business Administration,Google Form
LD2383,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Artificial Intelligence,College Collaboration
LD2384,Delhi,Indian Institute of Technology Delhi (IIT-D),1st,Biotechnology,Instagram
LD2385,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Robotics,College Collaboration
LD2386,Kolkata,Indian Statistical Institute,4th,Biotechnology,College Collaboration
LD2387,Bengaluru,Indian Institute of Science (IISc),3rd,Data Science,Mass-Mailing
LD2388,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Electric Vehicles,LinkedIn
LD2389,Delhi,Lady Shri Ram College for Women,2nd,Electric Vehicles,Google Form
LD2390,Mumbai,Mithibai College,1st,Business Administration,Instagram
LD2391,Indore,Indian Institute of Management Indore (IIM-I),2nd,Environmental Science,College Collaboration
LD2392,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Electric Vehicles,Mass-Mailing
LD2393,Delhi,Indian Institute of Technology Delhi (IIT-D),1st,Biotechnology,Instagram
LD2394,Pune,Bharati Vidyapeeth Deemed University,4th,Cybersecurity,Instagram
LD2395,Delhi,Jawaharlal Nehru University (JNU),3rd,Electric Vehicles,LinkedIn
LD2396,Chennai,SRM Institute of Science and Technology,3rd,Cybersecurity,Google Form
LD2397,Kolkata,Jadavpur University,3rd,Biotechnology,Google Form
LD2398,Bengaluru,Indian Institute of Science (IISc),2nd,Environmental Science,College Collaboration
LD2399,Indore,Devi Ahilya Vishwavidyalaya,4th,Artificial Intelligence,College Collaboration
LD2400,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Cybersecurity,Instagram
LD2401,Mumbai,K. J. Somaiya College of Engineering,3rd,Artificial Intelligence,Google Form
LD2402,Kolkata,Indian Statistical Institute,4th,Business Administration,LinkedIn
LD2403,Pune,University of Pune (Savitribai Phule Pune University),2nd,Environmental Science,College Collaboration
LD2404,Pune,Bharati Vidyapeeth Deemed University,2nd,Electric Vehicles,Instagram
LD2405,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Cybersecurity,LinkedIn
LD2406,Delhi,Jamia Millia Islamia,4th,Cybersecurity,LinkedIn
LD2407,Kolkata,Presidency University,4th,Artificial Intelligence,LinkedIn
LD2408,Hyderabad,Osmania University,2nd,Environmental Science,LinkedIn
LD2409,Chennai,Vellore Institute of Technology (VIT),2nd,Artificial Intelligence,Google Form
LD2410,Ahmedabad,Nirma University,3rd,Business Administration,Google Form
LD2411,Ahmedabad,Gujarat University,1st,Cybersecurity,Whatsapp
LD2412,Pune,Bharati Vidyapeeth Deemed University,3rd,Data Science,Instagram
LD2413,Kolkata,University of Calcutta,4th,Business Administration,Google Form
LD2414,Delhi,Jamia Millia Islamia,4th,Environmental Science,Google Form
LD2415,Jaipur,Rajasthan Technical University,3rd,Electric Vehicles,Google Form
LD2416,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Cybersecurity,Google Form
LD2417,Pune,MIT World Peace University,2nd,Robotics,LinkedIn
LD2418,Pune,Bharati Vidyapeeth Deemed University,2nd,Business Administration,Mass-Mailing
LD2419,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Environmental Science,Instagram
LD2420,Chennai,SRM Institute of Science and Technology,3rd,Cybersecurity,LinkedIn
LD2421,Chennai,Madras Christian College,4th,Robotics,Instagram
LD2422,Chennai,Madras Christian College,2nd,Electric Vehicles,LinkedIn
LD2423,Indore,Devi Ahilya Vishwavidyalaya,4th,Environmental Science,College Collaboration
LD2424,Delhi,Jamia Millia Islamia,2nd,Biotechnology,Mass-Mailing
LD2425,Hyderabad,Osmania University,4th,Biotechnology,LinkedIn
LD2426,Delhi,Jamia Millia Islamia,4th,Electric Vehicles,LinkedIn
LD2427,Chennai,Madras Christian College,2nd,Artificial Intelligence,Instagram
LD2428,Indore,Indian Institute of Management Indore (IIM-I),4th,Artificial Intelligence,LinkedIn
LD2429,Ahmedabad,Gujarat University,2nd,Business Administration,LinkedIn
LD2430,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Robotics,LinkedIn
LD2431,Mumbai,Mithibai College,4th,Artificial Intelligence,Google Form
LD2432,Delhi,University of Delhi,2nd,Environmental Science,Instagram
LD2433,Hyderabad,Osmania University,3rd,Environmental Science,College Collaboration
LD2434,Delhi,Lady Shri Ram College for Women,2nd,Cybersecurity,LinkedIn
LD2435,Ahmedabad,Nirma University,2nd,Artificial Intelligence,Mass-Mailing
LD2436,Delhi,Guru Gobind Singh Indraprastha University,3rd,Artificial Intelligence,LinkedIn
LD2437,Ahmedabad,Nirma University,3rd,Artificial Intelligence,LinkedIn
LD2438,Kolkata,Indian Statistical Institute,4th,Data Science,Instagram
LD2439,Chennai,Anna University,4th,Artificial Intelligence,Mass-Mailing
LD2440,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Artificial Intelligence,LinkedIn
LD2441,Ahmedabad,Nirma University,3rd,Robotics,Google Form
LD2442,Delhi,Guru Gobind Singh Indraprastha University,2nd,Environmental Science,Instagram
LD2443,Delhi,Lady Shri Ram College for Women,4th,Data Science,College Collaboration
LD2444,Ahmedabad,Nirma University,2nd,Environmental Science,College Collaboration
LD2445,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Environmental Science,Instagram
LD2446,Bengaluru,PES University,2nd,Data Science,College Collaboration
LD2447,Hyderabad,University of Hyderabad,2nd,Biotechnology,Mass-Mailing
LD2448,Hyderabad,Indian School of Business (ISB),2nd,Robotics,LinkedIn
LD2449,Mumbai,Tata Institute of Social Sciences (TISS),1st,Environmental Science,Instagram
LD2450,Indore,Indian Institute of Management Indore (IIM-I),2nd,Electric Vehicles,College Collaboration
LD2451,Pune,University of Pune (Savitribai Phule Pune University),3rd,Artificial Intelligence,LinkedIn
LD2452,Mumbai,University of Mumbai,4th,Environmental Science,College Collaboration
LD2453,Kolkata,Jadavpur University,4th,Data Science,Google Form
LD2454,Chennai,Vellore Institute of Technology (VIT),2nd,Electric Vehicles,College Collaboration
LD2455,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Environmental Science,LinkedIn
LD2456,Ahmedabad,Gujarat University,2nd,Data Science,LinkedIn
LD2457,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Environmental Science,Google Form
LD2458,Ahmedabad,Nirma University,4th,Cybersecurity,LinkedIn
LD2459,Indore,Indian Institute of Management Indore (IIM-I),2nd,Artificial Intelligence,Google Form
LD2460,Hyderabad,University of Hyderabad,2nd,Environmental Science,College Collaboration
LD2461,Chennai,SRM Institute of Science and Technology,3rd,Data Science,Mass-Mailing
LD2462,Bengaluru,PES University,1st,Biotechnology,Mass-Mailing
LD2463,Jaipur,Malaviya National Institute of Technology (MNIT),3rd,Cybersecurity,Instagram
LD2464,Delhi,Guru Gobind Singh Indraprastha University,2nd,Biotechnology,LinkedIn
LD2465,Kolkata,Indian Statistical Institute,2nd,Artificial Intelligence,LinkedIn
LD2466,Delhi,University of Delhi,3rd,Artificial Intelligence,College Collaboration
LD2467,Kolkata,Presidency University,3rd,Robotics,LinkedIn
LD2468,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Electric Vehicles,Instagram
LD2469,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Electric Vehicles,Google Form
LD2470,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,Mass-Mailing
LD2471,Mumbai,Indian Institute of Technology Bombay (IIT-B),3rd,Artificial Intelligence,LinkedIn
LD2472,Pune,University of Pune (Savitribai Phule Pune University),3rd,Business Administration,Google Form
LD2473,Ahmedabad,Gujarat University,3rd,Cybersecurity,Instagram
LD2474,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Electric Vehicles,LinkedIn
LD2475,Chennai,Anna University,3rd,Biotechnology,College Collaboration
LD2476,Bengaluru,Indian Institute of Management Bangalore (IIM-B),3rd,Cybersecurity,LinkedIn
LD2477,Delhi,University of Delhi,2nd,Business Administration,College Collaboration
LD2478,Mumbai,St. Xavier's College,4th,Electric Vehicles,LinkedIn
LD2479,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Artificial Intelligence,LinkedIn
LD2480,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,Google Form
LD2481,Ahmedabad,Nirma University,3rd,Electric Vehicles,College Collaboration
LD2482,Hyderabad,University of Hyderabad,3rd,Robotics,College Collaboration
LD2483,Chennai,Madras Christian College,2nd,Robotics,Google Form
LD2484,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,College Collaboration
LD2485,Indore,Devi Ahilya Vishwavidyalaya,1st,Data Science,College Collaboration
LD2486,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,Google Form
LD2487,Mumbai,Mithibai College,2nd,Biotechnology,Google Form
LD2488,Kolkata,Indian Statistical Institute,2nd,Environmental Science,Instagram
LD2489,Ahmedabad,Gujarat University,2nd,Robotics,Mass-Mailing
LD2490,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Cybersecurity,Google Form
LD2491,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Cybersecurity,College Collaboration
LD2492,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,College Collaboration
LD2493,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Artificial Intelligence,Whatsapp
LD2494,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,Google Form
LD2495,Mumbai,Sardar Patel Institute of Technology,2nd,Cybersecurity,College Collaboration
LD2496,Ahmedabad,Gujarat University,1st,Artificial Intelligence,Google Form
LD2497,Chennai,Anna University,3rd,Robotics,LinkedIn
LD2498,Ahmedabad,Nirma University,2nd,Data Science,Instagram
LD2499,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Business Administration,LinkedIn
LD2500,Bengaluru,Christ University,3rd,Environmental Science,Instagram
LD2501,Pune,University of Pune (Savitribai Phule Pune University),1st,Artificial Intelligence,College Collaboration
LD2502,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Artificial Intelligence,LinkedIn
LD2503,Delhi,Delhi Technological University (DTU),2nd,Cybersecurity,Google Form
LD2504,Delhi,University of Delhi,2nd,Environmental Science,LinkedIn
LD2505,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,Instagram
LD2506,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,LinkedIn
LD2507,Hyderabad,Osmania University,3rd,Environmental Science,College Collaboration
LD2508,Chennai,Madras Christian College,3rd,Business Administration,LinkedIn
LD2509,Hyderabad,Indian School of Business (ISB),2nd,Artificial Intelligence,College Collaboration
LD2510,Indore,Indian Institute of Management Indore (IIM-I),1st,Environmental Science,LinkedIn
LD2511,Kolkata,Indian Statistical Institute,2nd,Electric Vehicles,Instagram
LD2512,Ahmedabad,Nirma University,3rd,Biotechnology,College Collaboration
LD2513,Ahmedabad,Nirma University,2nd,Business Administration,LinkedIn
LD2514,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Robotics,LinkedIn
LD2515,Hyderabad,International Institute of Information Technology (IIIT-H),1st,Artificial Intelligence,Google Form
LD2516,Chennai,Madras Christian College,4th,Biotechnology,Google Form
LD2517,Ahmedabad,Gujarat University,2nd,Environmental Science,LinkedIn
LD2518,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,LinkedIn
LD2519,Mumbai,Sardar Patel Institute of Technology,3rd,Environmental Science,Mass-Mailing
LD2520,Pune,MIT World Peace University,1st,Data Science,Google Form
LD2521,Hyderabad,International Institute of Information Technology (IIIT-H),4th,Environmental Science,LinkedIn
LD2522,Indore,Indian Institute of Management Indore (IIM-I),2nd,Cybersecurity,LinkedIn
LD2523,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Artificial Intelligence,LinkedIn
LD2524,Delhi,Lady Shri Ram College for Women,3rd,Environmental Science,LinkedIn
LD2525,Bengaluru,RV College of Engineering,4th,Artificial Intelligence,LinkedIn
LD2526,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Robotics,Instagram
LD2527,Mumbai,Sardar Patel Institute of Technology,3rd,Environmental Science,Mass-Mailing
LD2528,Bengaluru,Indian Institute of Science (IISc),3rd,Data Science,Whatsapp
